"FedEx 운임표  |  고객: DONGMYUNG BEARING CO., LTD.  |  제안번호: 16054908  |  유효: 2026-03-24  |  통화: KRW",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
▶ 1. FedEx International Priority Import (IP)  |  단위: KRW/건,,,,,,,,,,,,,,,,,,,,,,
중량(Kg),구분,지역 A,지역 D,지역 E,지역 F,지역 G,지역 H,지역 I,지역 J,지역 K,지역 M,지역 N,,,,,,,,,,
300~499,"4,430","9,900","7,720","8,090","6,690","15,090","20,150","19,880","4,430","6,360","8,400","2,530","6,230","3,890","4,620","4,830","6,390","10,000","5,960","5,070","3,480","3,800"
500~999,"4,390","9,850","7,720","8,020","6,710","15,090","20,150","19,880","4,040","6,340","7,910","2,510","6,060","3,770","4,480","4,480","6,170","9,910","5,880","4,670","3,520","3,840"
1000~9999,"4,380","9,850","7,720","8,020","6,730","15,090","20,150","19,880","4,010","6,330","7,910","2,510","5,990","3,700","4,470","4,470","6,170","9,680","5,690","4,680","3,530","3,840"
10000~99999,"15,800","20,100","22,700","23,600","23,000","38,200","40,300","42,300","15,800","23,000","19,300","20,100","17,100","19,300","19,300","19,300","19,300","23,600","15,800","19,300","15,800","15,800"
,,,,,,,,,,,,,,,,,,,,,,
▶ 5. FedEx International Deferred Freight (FDF)  |  단위: KRW/kg,,,,,,,,,,,,,,,,,,,,,,
중량(Kg),지역 A,지역 B,지역 C,지역 D,지역 E,지역 F,지역 G,지역 H,지역 I,지역 J,,,,,,,,,,,,
  ▸ ATA (Airport to Airport),,,,,,,,,,,,,,,,,,,,,,
68~99,"16,700","19,200","21,800","21,800","22,500","24,600","25,200","38,000","40,700","42,900",,,,,,,,,,,,
100~299,"15,800","18,000","20,200","20,200","22,100","23,500","23,000","37,400","39,200","41,200",,,,,,,,,,,,
300~499,"15,600","16,900","19,300","19,300","21,900","22,900","22,300","36,700","38,800","40,600",,,,,,,,,,,,
500~999,"15,200","16,300","18,400","19,100","21,600","22,500","22,000","36,400","38,600","40,300",,,,,,,,,,,,
1000~99999,"15,100","16,000","18,300","19,000","21,600","22,300","21,900","36,400","38,600","40,300",,,,,,,,,,,,
  ▸ ATD/DTA (Airport↔Door),,,,,,,,,,,,,,,,,,,,,,
68~99,"17,300","19,500","22,200","22,200","23,000","25,100","25,700","38,900","42,500","43,900",,,,,,,,,,,,
100~299,"16,100","18,400","20,700","20,900","22,600","23,800","23,700","38,500","40,000","42,300",,,,,,,,,,,,
300~499,"15,900","17,500","19,800","19,900","22,300","23,400","22,800","37,400","39,600","41,600",,,,,,,,,,,,
500~999,"15,600","16,700","19,100","19,600","22,200","23,200","22,500","37,400","39,400","41,400",,,,,,,,,,,,
1000~99999,"15,300","16,500","18,700","19,600","22,100","23,000","22,400","37,300","39,400","41,400",,,,,,,,,,,,
  ▸ DTD (Door to Door),,,,,,,,,,,,,,,,,,,,,,
68~99,"17,600","19,700","22,900","22,400","23,500","25,700","26,200","39,400","42,800","44,500",,,,,,,,,,,,
100~299,"16,400","18,600","21,100","21,100","23,000","24,400","24,100","39,100","40,900","42,800",,,,,,,,,,,,
300~499,"16,100","17,800","20,000","20,200","22,700","23,800","23,200","38,200","40,300","42,300",,,,,,,,,,,,
500~999,"15,900","17,300","19,300","20,100","22,700","23,600","23,000","38,200","40,300","42,300",,,,,,,,,,,,
1000~99999,"15,800","17,100","19,300","20,100","22,700","23,600","23,000","38,200","40,300","42,300",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
▶ 6. 지역 차트  |  국가별 서비스 지역 코드,,,,,,,,,,,,,,,,,,,,,,
국가/지역,IP,IE,IPF,IEF,FDF,,,,,,,,,,,,,,,,,
호주,U,U,U,U,F,,,,,,,,,,,,,,,,,
오스트리아,G,G,G,G,G,,,,,,,,,,,,,,,,,
벨기에,M,M,M,M,G,,,,,,,,,,,,,,,,,
브라질,I,I,I,I,I,,,,,,,,,,,,,,,,,
캄보디아,D,D,D,D,D,,,,,,,,,,,,,,,,,
캐나다,F,F,F,F,F,,,,,,,,,,,,,,,,,
칠레,I,I,I,I,I,,,,,,,,,,,,,,,,,
중국(남부 제외),W,W,W,W,C,,,,,,,,,,,,,,,,,
중국(남부/푸젠/광동),K,K,K,K,A,,,,,,,,,,,,,,,,,
콜롬비아,I,I,I,I,I,,,,,,,,,,,,,,,,,
체코,G,G,G,G,G,,,,,,,,,,,,,,,,,
덴마크,G,G,G,G,G,,,,,,,,,,,,,,,,,
이집트,J,J,J,J,J,,,,,,,,,,,,,,,,,
프랑스,M,M,M,M,G,,,,,,,,,,,,,,,,,
독일,M,M,M,M,G,,,,,,,,,,,,,,,,,
그리스,G,G,G,G,G,,,,,,,,,,,,,,,,,
홍콩(HK SAR),V,V,V,V,A,,,,,,,,,,,,,,,,,
헝가리,G,G,G,G,G,,,,,,,,,,,,,,,,,
인도,O,O,O,O,D,,,,,,,,,,,,,,,,,
인도네시아,T,T,T,T,C,,,,,,,,,,,,,,,,,
아일랜드,G,G,G,G,G,,,,,,,,,,,,,,,,,
이스라엘,H,H,H,H,H,,,,,,,,,,,,,,,,,
이탈리아,M,M,M,M,G,,,,,,,,,,,,,,,,,
일본,P,P,P,P,B,,,,,,,,,,,,,,,,,
케냐,J,J,J,J,J,,,,,,,,,,,,,,,,,
쿠웨이트,J,J,J,J,J,,,,,,,,,,,,,,,,,
말레이시아,Q,Q,Q,Q,C,,,,,,,,,,,,,,,,,
멕시코,F,F,F,F,F,,,,,,,,,,,,,,,,,
마카오(MO SAR),A,A,A,A,A,,,,,,,,,,,,,,,,,
네덜란드,M,M,M,M,G,,,,,,,,,,,,,,,,,
뉴질랜드,U,U,U,U,F,,,,,,,,,,,,,,,,,
노르웨이,G,G,G,G,G,,,,,,,,,,,,,,,,,
필리핀,S,S,S,S,C,,,,,,,,,,,,,,,,,
폴란드,G,G,G,G,G,,,,,,,,,,,,,,,,,
포르투갈,G,G,G,G,G,,,,,,,,,,,,,,,,,
푸에르토리코,F,F,F,F,F,,,,,,,,,,,,,,,,,
